			School				Cost				Effect					% Chance to gain									AI value				Right click text				
Berserk	Berserk	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Berserk}

Oddzia³ zaatakuje losowy wybrany najbli¿szy oddzia³, niewa¿ne czyj.
"	"{Berserk - poziom podstawowy}

Oddzia³ zaatakuje losowy wybrany najbli¿szy oddzia³, niewa¿ne czyj.
"	"{Berserk - poziom zaawansowany}

Oddzia³ zaatakuje losowy wybrany najbli¿szy oddzia³, niewa¿ne czyj.

Zasiêg jest o szeœæ pól wiêkszy ni¿ na poziomie podstawowym."	"{Berserk - poziom mistrzowski}

Oddzia³ zaatakuje losowy wybrany najbli¿szy oddzia³, niewa¿ne czyj.

Zasiêg jest o osiemnaœcie pól wiêkszy ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hipnoza	Hipnoza	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hipnoza}

Pozwala ci czasowo sprawowaæ kontrolê nad wrogim oddzia³em."	"{Hipnoza - poziom podstawowy}

Pozwala ci czasowo sprawowaæ kontrolê nad wrogim oddzia³em."	"{Hipnoza - poziom zaawansowany}

Pozwala ci czasowo sprawowaæ kontrolê nad wrogim oddzia³em.

Pozwala kontrolowaæ oddzia³y maj¹ce o 10 punktów wytrzyma³oœci wiêcej ni¿ na poziomie podstawowym."	"{Hipnoza - poziom mistrzowski}

Pozwala ci czasowo sprawowaæ kontrolê nad wrogim oddzia³em.

Pozwala kontrolowaæ oddzia³y maj¹ce o 40 punktów wytrzyma³oœci wiêcej ni¿ na poziomie podstawowym."	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Zapomnienie	Zapomnienie	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Zapomnienie}

Po³owa jednostek wrogiego oddzia³u zapomina wykonaæ atak na odleg³oœæ (strza³)."	"{Zapomnienie - poziom podstawowy}

Po³owa jednostek wrogiego oddzia³u zapomina wykonaæ atak na odleg³oœæ (strza³)."	"{Zapomnienie - poziom zaawansowany}

Wrogi oddzia³ zapomina wykonaæ atak na odleg³oœæ (strza³)."	"{Zapomnienie - poziom mistrzowski}

Ca³a armia wroga zapomina wykonaæ atak na odleg³oœæ (strza³)."	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Oœlepienie	Oœlepienie	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Oœlepienie}

Oœlepia stworzenia. Nie mog¹ siê one ruszaæ, a kontratak w ich wykonaniu jest o po³owê mniej skuteczny. Oœlepienie trwa a¿ oddzia³ zostanie zaatakowany b¹dŸ czar minie."	"{Oœlepienie - poziom podstawowy}

Oœlepia stworzenia. Nie mog¹ siê one ruszaæ, a kontratak w ich wykonaniu jest o po³owê mniej skuteczny. Oœlepienie trwa a¿ oddzia³ zostanie zaatakowany b¹dŸ czar minie."	"{Oœlepienie - poziom zaawansowany}

Oœlepia stworzenia. Nie mog¹ siê one ruszaæ, a kontratak w ich wykonaniu zadaje tylko æwieræ normalnych obra¿eñ. Oœlepienie trwa a¿ oddzia³ zostanie zaatakowany b¹dŸ czar minie."	"{Oœlepienie - poziom mistrzowski}

Oœlepia stworzenia. Nie mog¹ siê one ruszaæ ani kontratakowaæ. Oœlepienie trwa a¿ oddzia³ zostanie zaatakowany b¹dŸ czar minie."	 COMBAT_SPELL|CREATURE_TARGET
Teleportacja	Teleportacja	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleport}

Teleportuje w³asny oddzia³ na wolne pole na polu bitwy."	"{Teleport - poziom podstawowy}

Teleportuje w³asny oddzia³ na wolne pole na polu bitwy.

Nie mo¿na teleportowaæ ponad murami i fosami.
"	"{Teleport - poziom zaawansowany}

Teleportuje w³asny oddzia³ na wolne pole na polu bitwy.

Nie mo¿na teleportowaæ ponad murami.
"	"{Teleport - poziom mistrzowski}

Teleportuje w³asny oddzia³ na wolne pole na polu bitwy.
"	 COMBAT_SPELL|CREATURE_TARGET
Usuniêcie przeszkody	Usuniêcie przeszkody	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Usuniêcie przeszkody}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) z pola bitwy zgodnie z wyborem rzucaj¹cego czar."	"{Usuniêcie przeszkody - poziom podstawowy}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) z pola bitwy zgodnie z wyborem rzucaj¹cego czar."	"{Usuniêcie przeszkody - poziom zaawansowany}

Usuwa normaln¹ przeszkodê (drzewo, ska³ê, itd.) lub œcianê ognia z pola bitwy zgodnie z wyborem rzucaj¹cego czar."	"{Usuniêcie przeszkody - poziom mistrzowski}

Usuwa normaln¹ lub magiczn¹ przeszkodê z pola bitwy zgodnie z wyborem rzucaj¹cego czar."	 COMBAT_SPELL|OBSTACLE_TARGET
Klonowanie	Klonowanie	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Klonowanie}

Klonuje dowoln¹ jednostkê. Klon rozp³ywa siê, gdy zostanie zaatakowany.

Klonuje stworzenia z poziomów 1-5."	"{Klonowanie - poziom podstawowy}

Klonuje dowoln¹ jednostkê. Klon rozp³ywa siê, gdy zostanie zaatakowany.

Klonuje stworzenia z poziomów 1-5."	"{Klonowanie - poziom zaawansowany}

Klonuje dowoln¹ jednostkê. Klon rozp³ywa siê, gdy zostanie zaatakowany.

Klonuje stworzenia z poziomów 1-6."	"{Klonowanie - poziom mistrzowski}

Klonuje dowoln¹ jednostkê. Klon rozp³ywa siê, gdy zostanie zaatakowany.

Klonuje stworzenia z dowolnego poziomu."	 COMBAT_SPELL|CREATURE_TARGET
¯ywio³ak ognia	¯ywio³ak ognia	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Przyzwanie ¿ywio³aka ognia}

Pozwala na przyzwanie ¿ywio³aków ognia. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka ognia - poziom podstawowy}

Pozwala na przyzwanie ¿ywio³aków ognia. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka ognia - poziom zaawansowany}

Pozwala na przyzwanie ¿ywio³aków ognia. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa o oko³o po³owê wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	"{Przyzwanie ¿ywio³aka ognia - poziom mistrzowski}

Pozwala na przyzwanie ¿ywio³aków ognia. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa oko³o dwa razy wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	 COMBAT_SPELL
¯ywio³ak ziemi	¯ywio³ak ziemi	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Przyzwanie ¿ywio³aka ziemi}

Pozwala na przyzwanie ¿ywio³aków ziemi. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka ziemi - poziom podstawowy}

Pozwala na przyzwanie ¿ywio³aków ziemi. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka ziemi - poziom zaawansowany}

Pozwala na przyzwanie ¿ywio³aków ziemi. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa o oko³o po³owê wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	"{Przyzwanie ¿ywio³aka ziemi - poziom mistrzowski}

Pozwala na przyzwanie ¿ywio³aków ziemi. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa oko³o dwa razy wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	 COMBAT_SPELL
¯ywio³ak wody	¯ywio³ak wody	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Przyzwanie ¿ywio³aka wody}

Pozwala na przyzwanie ¿ywio³aków wody. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka wody - poziom podstawowy}

Pozwala na przyzwanie ¿ywio³aków wody. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka wody - poziom zaawansowany}

Pozwala na przyzwanie ¿ywio³aków wody. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa o oko³o po³owê wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	"{Przyzwanie ¿ywio³aka wody - poziom mistrzowski}

Pozwala na przyzwanie ¿ywio³aków wody. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa oko³o dwa razy wiêcej ¿ywio³aków ni¿ na poziomie podstawowym."	 COMBAT_SPELL
¯ywio³ak powietrza	¯ywio³ak powietrza	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Przyzwanie ¿ywio³aka powietrza}

Pozwala na przyzwanie ¿ywio³aków powietrza. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka powietrza - poziom podstawowy}

Pozwala na przyzwanie ¿ywio³aków powietrza. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane."	"{Przyzwanie ¿ywio³aka powietrza - poziom zaawansowany}

Pozwala na przyzwanie ¿ywio³aków powietrza. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa o oko³o po³owê wiêcej ¿ywio³aków ni¿ na - poziomie podstawowym."	"{Przyzwanie ¿ywio³aka powietrza - poziom mistrzowski}

Pozwala na przyzwanie ¿ywio³aków powietrza. ¯adne inne ¿ywio³aki nie bêd¹ mog³y byæ przyzwane.

Przyzywa oko³o dwa razy wiêcej ¿ywio³aków ni¿ na - poziomie podstawowym."	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Kamienne spojrzenie	Kamienne spojrzenie	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Trucizna	Trucizna	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Spêtanie	Spêtanie	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Choroba	Choroba	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Parali¿	Parali¿	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Staroœæ	Staroœæ	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Œmiertelny ob³ok	Œmiertelny ob³ok	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Piorun	Piorun	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Pomocne zaklêcia	Pomocne zaklêcia	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Spojrzenie œmierci	Spojrzenie œmierci	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Zioniêcie kwasem	Zioniêcie kwasem	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
